university,total_students,uk_students,international_students,eu_students,mideast_africa_students,asia_students,australasia_students,americas_students,international_pct,asia_pct
Universities,,,,,,,,,,
University of Aberdeen,8640.0,6475.0,2165.0,1405.0,160.0,400.0,0.0,200.0,25.1,4.6
University of Bath,13170.0,10290.0,2880.0,1450.0,275.0,1110.0,5.0,40.0,21.9,8.4
Queen's University Belfast,16615.0,14300.0,2315.0,675.0,135.0,1355.0,5.0,145.0,13.9,8.2
"Birkbeck, University of London",3315.0,2905.0,410.0,220.0,60.0,90.0,0.0,40.0,12.4,2.7
University of Birmingham,23665.0,19140.0,4525.0,630.0,585.0,3075.0,5.0,230.0,19.1,13.0
University of Bristol,21495.0,17205.0,4290.0,1065.0,455.0,2590.0,10.0,170.0,20.0,12.0
Brunel University London,11865.0,8945.0,2920.0,690.0,545.0,1615.0,0.0,70.0,24.6,13.6
University of Cambridge,12770.0,10020.0,2750.0,965.0,55.0,1525.0,80.0,125.0,21.5,11.9
Cardiff University,20955.0,18530.0,2425.0,605.0,390.0,1350.0,5.0,75.0,11.6,6.4
"City, University of London",10830.0,7690.0,3140.0,1125.0,610.0,1205.0,5.0,195.0,29.0,11.1
Coventry University,25480.0,17245.0,8235.0,2155.0,1035.0,5005.0,0.0,40.0,32.3,19.6
University of Dundee,10440.0,8870.0,1570.0,755.0,155.0,570.0,0.0,90.0,15.0,5.5
Durham University,16185.0,12240.0,3945.0,690.0,205.0,2840.0,20.0,190.0,24.4,17.5
University of East Anglia,13010.0,11530.0,1480.0,410.0,125.0,895.0,0.0,50.0,11.4,6.9
University of Edinburgh,24330.0,15965.0,8365.0,2555.0,550.0,3930.0,30.0,1300.0,34.4,16.2
University of Essex,12225.0,9180.0,3045.0,1490.0,315.0,1105.0,0.0,135.0,24.9,9.0
University of Exeter,20845.0,16930.0,3915.0,1295.0,455.0,1925.0,20.0,220.0,18.8,9.2
University of Glasgow,19665.0,15305.0,4360.0,1575.0,470.0,1730.0,5.0,580.0,22.2,8.8
"Goldsmiths, University of London",5880.0,4610.0,1270.0,465.0,70.0,605.0,0.0,130.0,21.6,10.3
Imperial College London,11200.0,5675.0,5525.0,1600.0,200.0,3555.0,40.0,130.0,49.3,31.7
University of Kent,13685.0,11790.0,1895.0,720.0,500.0,475.0,0.0,200.0,13.8,3.5
King's College London,20550.0,11895.0,8655.0,3280.0,730.0,4160.0,35.0,450.0,42.1,20.2
Lancaster University,12205.0,8800.0,3405.0,1115.0,170.0,2080.0,0.0,40.0,27.9,17.0
University of Leeds,26870.0,21690.0,5180.0,1000.0,1235.0,2740.0,10.0,195.0,19.3,10.2
University of Leicester,11095.0,9300.0,1795.0,410.0,275.0,645.0,0.0,465.0,16.2,5.8
University of Liverpool,20970.0,16885.0,4085.0,475.0,745.0,2810.0,5.0,50.0,19.5,13.4
University of the Arts London,16065.0,8235.0,7830.0,2285.0,230.0,4800.0,65.0,450.0,48.7,29.9
London School of Economics and Political Science,5390.0,2580.0,2810.0,735.0,115.0,1860.0,25.0,75.0,52.1,34.5
Loughborough University,14030.0,12225.0,1805.0,675.0,365.0,705.0,5.0,55.0,12.9,5.0
University of Manchester,29110.0,19145.0,9965.0,2280.0,1170.0,6220.0,15.0,280.0,34.2,21.4
Newcastle University,20190.0,17510.0,2680.0,900.0,335.0,1325.0,0.0,120.0,13.3,6.6
Northumbria University,19310.0,17150.0,2160.0,850.0,495.0,700.0,0.0,115.0,11.2,3.6
University of Nottingham,27070.0,23060.0,4010.0,815.0,850.0,2250.0,10.0,85.0,14.8,8.3
Oxford Brookes University,11460.0,10095.0,1365.0,640.0,235.0,380.0,5.0,105.0,11.9,3.3
University of Oxford,12035.0,9605.0,2430.0,900.0,45.0,1155.0,80.0,250.0,20.2,9.6
Queen Mary University of London,16265.0,12460.0,3805.0,1560.0,635.0,1455.0,0.0,155.0,23.4,8.9
University of Reading,11660.0,9400.0,2260.0,755.0,495.0,965.0,0.0,45.0,19.4,8.3
"Royal Holloway, University of London",9100.0,7500.0,1600.0,695.0,165.0,655.0,0.0,85.0,17.6,7.2
University of St Andrews,8450.0,4970.0,3480.0,645.0,130.0,915.0,15.0,1775.0,41.2,10.8
SOAS University of London,2800.0,2040.0,760.0,290.0,130.0,305.0,0.0,35.0,27.1,10.9
University of Sheffield,18730.0,14075.0,4655.0,850.0,585.0,3130.0,0.0,90.0,24.9,16.7
University of Southampton,14515.0,11615.0,2900.0,1100.0,175.0,1460.0,5.0,160.0,20.0,10.1
University of Strathclyde,14005.0,12690.0,1315.0,415.0,350.0,490.0,0.0,60.0,9.4,3.5
University of Surrey,11670.0,9830.0,1840.0,820.0,340.0,635.0,5.0,40.0,15.8,5.4
University of Sussex,14505.0,10840.0,3665.0,1185.0,580.0,1645.0,0.0,255.0,25.3,11.3
Swansea University,15605.0,13595.0,2010.0,660.0,470.0,760.0,15.0,105.0,12.9,4.9
University College London,21950.0,9905.0,12045.0,3485.0,450.0,7700.0,75.0,335.0,54.9,35.1
University of Warwick,17550.0,12065.0,5485.0,1920.0,430.0,3040.0,15.0,80.0,31.3,17.3
University of the West of England,22710.0,19180.0,3530.0,785.0,990.0,1615.0,0.0,140.0,15.5,7.1
